"team_id","league_id","abbr","team_concat","name","location","conf","div","lat","lon","weather"
59020,5,TNTC,CFB_TNTC,Tennessee Tech,"Cookeville, TN",FCS,OVC,36.178000,-85.506000,1
59021,5,TNST,CFB_TNST,Tennessee St,"Nashville, TN",FCS,OVC,36.166000,-86.771000,1
59022,5,TOW,CFB_TOW,Towson,"Towson, MD",FCS,CAA,39.389000,-76.616000,1
59023,5,W&M,CFB_W&M,William & Mary,"Williamsburg, VA",FCS,CAA,37.273000,-76.714000,1
59024,5,VILL,CFB_VILL,Villanova,"Villanova, PA",FCS,CAA,40.034000,-75.337000,1
59025,5,BRY,CFB_BRY,Bryant,"Smithfield, RI",FCS,CAA,41.924000,-71.539000,1
59026,5,ALB,CFB_ALB,UAlbany,"Albany, NY",FCS,CAA,42.681000,-73.827000,1
59027,5,ME,CFB_ME,Maine,"Orono, ME",FCS,CAA,44.905000,-68.672000,1
59028,5,CAM,CFB_CAM,Campbell,"Buies Creek, NC",FCS,CAA,35.405000,-78.742000,1
59029,5,STBK,CFB_STBK,Stony Brook,"Stony Brook, NY",FCS,CAA,40.919000,-73.124000,1
59030,5,URI,CFB_URI,Rhode Island,"Kingston, RI",FCS,CAA,41.488000,-71.535000,1
59031,5,ELON,CFB_ELON,Elon,"Elon, NC",FCS,CAA,36.110000,-79.508000,1
59032,5,NCAT,CFB_NCAT,NC A&T,"Greensboro, NC",FCS,CAA,36.081000,-79.770000,1
59033,5,HAMP,CFB_HAMP,Hampton,"Hampton, VA",FCS,CAA,37.020000,-76.333000,1
59034,5,UNH,CFB_UNH,New Hampshire,"Durham, NH",FCS,CAA,43.139000,-70.939000,1
59035,5,MONM,CFB_MONM,Monmouth,"West Long Branch, NJ",FCS,CAA,40.279000,-74.009000,1
59036,5,DEL,CFB_DEL,Delaware,"Newark, DE",CUSA,,39.662000,-75.749000,1
59037,5,MOST,CFB_MOST,Missouri St,"Springfield, MO",CUSA,,37.198000,-93.280000,1
59038,5,SHU,CFB_SHU,Sacred Heart,"Fairfield, CT",FCS,IND,41.221000,-73.242000,1
59039,5,MRMK,CFB_MRMK,Merrimack,"North Andover, MA",FCS,IND,42.684000,-71.113000,1
59040,5,BRWN,CFB_BRWN,Brown,"Providence, RI",FCS,IVY,41.842000,-71.394000,1
59041,5,HARV,CFB_HARV,Harvard,"Boston, MA",FCS,IVY,42.367000,-71.127000,1
59042,5,DART,CFB_DART,Dartmouth,"Hanover, NH",FCS,IVY,43.701000,-72.284000,1
59043,5,COR,CFB_COR,Cornell,"Ithaca, NY",FCS,IVY,42.444000,-76.479000,1
59044,5,COLU,CFB_COLU,Columbia,"Manhattan, NY",FCS,IVY,40.873000,-73.916000,1
59045,5,PRIN,CFB_PRIN,Princeton,"Princeton, NJ",FCS,IVY,40.346000,-74.650000,1
59046,5,YALE,CFB_YALE,Yale,"New Haven, CT",FCS,IVY,41.313000,-72.961000,1
