"league_id","yr","week_start_dt","week_end_dt","week_num","week_name","is_pre","is_post"
1,2023,2023-03-06,2023-03-13,21,Week 21,false,false
1,2023,2023-03-13,2023-03-20,22,Week 22,false,false
1,2023,2023-03-20,2023-03-27,23,Week 23,false,false
1,2023,2023-03-27,2023-04-03,24,Week 24,false,false
1,2023,2023-04-03,2023-04-10,25,Week 25,false,false
1,2023,2023-04-10,2023-04-17,1,Postseason Week 1,false,true
1,2023,2023-04-17,2023-04-24,2,Postseason Week 2,false,true
1,2023,2023-04-24,2023-05-01,3,Postseason Week 3,false,true
1,2023,2023-05-01,2023-05-08,4,Postseason Week 4,false,true
1,2023,2023-05-08,2023-05-15,5,Postseason Week 5,false,true
1,2023,2023-05-15,2023-05-22,6,Postseason Week 6,false,true
1,2023,2023-05-22,2023-05-29,7,Postseason Week 7,false,true
1,2023,2023-05-29,2023-06-05,8,Postseason Week 8,false,true
1,2023,2023-06-05,2023-06-12,9,Postseason Week 9,false,true
1,2023,2023-06-12,2023-06-19,10,Postseason Week 10,false,true
1,2023,2022-09-26,2022-10-03,1,Preseason Week 1,true,false
1,2023,2022-10-03,2022-10-10,2,Preseason Week 2,true,false
1,2023,2022-10-10,2022-10-17,3,Preseason Week 3,true,false
1,2024,2023-10-23,2023-10-30,1,Week 1,false,false
1,2024,2023-10-30,2023-11-06,2,Week 2,false,false
1,2024,2023-11-06,2023-11-13,3,Week 3,false,false
1,2024,2023-11-13,2023-11-20,4,Week 4,false,false
1,2024,2023-11-20,2023-11-27,5,Week 5,false,false
1,2024,2023-11-27,2023-12-04,6,Week 6,false,false
1,2024,2023-12-04,2023-12-11,7,Week 7,false,false
1,2024,2023-12-11,2023-12-18,8,Week 8,false,false
1,2024,2023-12-18,2023-12-25,9,Week 9,false,false
1,2024,2023-12-25,2024-01-01,10,Week 10,false,false
1,2024,2024-01-01,2024-01-08,11,Week 11,false,false
1,2024,2024-01-08,2024-01-15,12,Week 12,false,false
1,2024,2024-01-15,2024-01-22,13,Week 13,false,false
1,2024,2024-01-22,2024-01-29,14,Week 14,false,false
1,2024,2024-01-29,2024-02-05,15,Week 15,false,false
1,2024,2024-02-05,2024-02-12,16,Week 16,false,false
1,2024,2024-02-12,2024-02-19,17,Week 17,false,false
1,2024,2024-02-19,2024-02-26,18,Week 18,false,false
1,2024,2024-02-26,2024-03-04,19,Week 19,false,false
1,2024,2024-03-04,2024-03-11,20,Week 20,false,false
1,2024,2024-03-11,2024-03-18,21,Week 21,false,false
1,2024,2024-03-18,2024-03-25,22,Week 22,false,false
1,2024,2024-03-25,2024-04-01,23,Week 23,false,false
1,2024,2024-04-01,2024-04-08,24,Week 24,false,false
1,2024,2024-04-08,2024-04-15,25,Week 25,false,false
1,2024,2024-04-15,2024-04-22,1,Postseason Week 1,false,true
1,2024,2024-04-22,2024-04-29,2,Postseason Week 2,false,true
1,2024,2024-04-29,2024-05-06,3,Postseason Week 3,false,true
1,2024,2024-05-06,2024-05-13,4,Postseason Week 4,false,true
1,2024,2024-05-13,2024-05-20,5,Postseason Week 5,false,true
1,2024,2024-05-20,2024-05-27,6,Postseason Week 6,false,true
1,2024,2024-05-27,2024-06-03,7,Postseason Week 7,false,true
1,2024,2024-06-03,2024-06-10,8,Postseason Week 8,false,true
1,2024,2024-06-10,2024-06-17,9,Postseason Week 9,false,true
1,2024,2024-06-17,2024-06-24,10,Postseason Week 10,false,true
1,2024,2023-10-02,2023-10-09,1,Preseason Week 1,true,false
1,2024,2023-10-09,2023-10-16,2,Preseason Week 2,true,false
1,2024,2023-10-16,2023-10-23,3,Preseason Week 3,true,false
1,2025,2024-10-21,2024-10-28,1,Week 1,false,false
1,2025,2024-10-28,2024-11-04,2,Week 2,false,false
1,2025,2024-11-04,2024-11-11,3,Week 3,false,false
1,2025,2024-11-11,2024-11-18,4,Week 4,false,false
1,2025,2024-11-18,2024-11-25,5,Week 5,false,false
1,2025,2024-11-25,2024-12-02,6,Week 6,false,false
1,2025,2024-12-02,2024-12-09,7,Week 7,false,false
1,2025,2024-12-09,2024-12-16,8,Week 8,false,false
1,2025,2024-12-16,2024-12-23,9,Week 9,false,false
1,2025,2024-12-23,2024-12-30,10,Week 10,false,false
1,2025,2024-12-30,2025-01-06,11,Week 11,false,false
1,2025,2025-01-06,2025-01-13,12,Week 12,false,false
1,2025,2025-01-13,2025-01-20,13,Week 13,false,false
1,2025,2025-01-20,2025-01-27,14,Week 14,false,false
1,2025,2025-01-27,2025-02-03,15,Week 15,false,false
1,2025,2025-02-03,2025-02-10,16,Week 16,false,false
1,2025,2025-02-10,2025-02-17,17,Week 17,false,false
1,2025,2025-02-17,2025-02-24,18,Week 18,false,false
1,2025,2025-02-24,2025-03-03,19,Week 19,false,false
1,2025,2025-03-03,2025-03-10,20,Week 20,false,false
1,2025,2025-03-10,2025-03-17,21,Week 21,false,false
1,2025,2025-03-17,2025-03-24,22,Week 22,false,false
1,2025,2025-03-24,2025-03-31,23,Week 23,false,false
1,2025,2025-03-31,2025-04-07,24,Week 24,false,false
1,2025,2025-04-07,2025-04-14,25,Week 25,false,false
1,2025,2025-04-14,2025-04-21,1,Postseason Week 1,false,true
1,2025,2025-04-21,2025-04-28,2,Postseason Week 2,false,true
1,2025,2025-04-28,2025-05-05,3,Postseason Week 3,false,true
1,2025,2025-05-05,2025-05-12,4,Postseason Week 4,false,true
1,2025,2025-05-12,2025-05-19,5,Postseason Week 5,false,true
1,2025,2025-05-19,2025-05-26,6,Postseason Week 6,false,true
1,2025,2025-05-26,2025-06-02,7,Postseason Week 7,false,true
1,2025,2025-06-02,2025-06-09,8,Postseason Week 8,false,true
1,2025,2025-06-09,2025-06-16,9,Postseason Week 9,false,true
1,2025,2025-06-16,2025-06-23,10,Postseason Week 10,false,true
1,2025,2025-06-23,2025-06-30,11,Postseason Week 11,false,true
1,2025,2024-09-30,2024-10-07,1,Preseason Week 1,true,false
1,2025,2024-10-07,2024-10-14,2,Preseason Week 2,true,false
1,2025,2024-10-14,2024-10-21,3,Preseason Week 3,true,false
1,2026,2025-10-20,2025-10-27,1,Week 1,false,false
1,2026,2025-10-27,2025-11-03,2,Week 2,false,false
1,2026,2025-11-03,2025-11-10,3,Week 3,false,false
1,2026,2025-11-10,2025-11-17,4,Week 4,false,false
1,2026,2025-11-17,2025-11-24,5,Week 5,false,false
1,2026,2025-11-24,2025-12-01,6,Week 6,false,false
1,2026,2025-12-01,2025-12-08,7,Week 7,false,false
1,2026,2025-12-08,2025-12-15,8,Week 8,false,false
1,2026,2025-12-15,2025-12-22,9,Week 9,false,false
1,2026,2025-12-22,2025-12-29,10,Week 10,false,false
1,2026,2025-12-29,2026-01-05,11,Week 11,false,false
1,2026,2026-01-05,2026-01-12,12,Week 12,false,false
1,2026,2026-01-12,2026-01-19,13,Week 13,false,false
1,2026,2026-01-19,2026-01-26,14,Week 14,false,false
1,2026,2026-01-26,2026-02-02,15,Week 15,false,false
1,2026,2026-02-02,2026-02-09,16,Week 16,false,false
1,2026,2026-02-09,2026-02-16,17,Week 17,false,false
1,2026,2026-02-16,2026-02-23,18,Week 18,false,false
1,2026,2026-02-23,2026-03-02,19,Week 19,false,false
1,2026,2026-03-02,2026-03-09,20,Week 20,false,false
1,2026,2026-03-09,2026-03-16,21,Week 21,false,false
1,2026,2026-03-16,2026-03-23,22,Week 22,false,false
1,2026,2026-03-23,2026-03-30,23,Week 23,false,false
1,2026,2026-03-30,2026-04-06,24,Week 24,false,false
1,2026,2026-04-06,2026-04-13,25,Week 25,false,false
1,2026,2026-04-13,2026-04-20,26,Week 26,false,false
1,2026,2025-09-29,2025-10-06,1,Preseason Week 1,true,false
1,2026,2025-10-06,2025-10-13,2,Preseason Week 2,true,false
1,2026,2025-10-13,2025-10-20,3,Preseason Week 3,true,false
3,2015,2014-10-06,2014-10-13,1,Week 1,false,false
3,2015,2014-10-13,2014-10-20,2,Week 2,false,false
3,2015,2014-10-20,2014-10-27,3,Week 3,false,false
3,2015,2014-10-27,2014-11-03,4,Week 4,false,false
3,2015,2014-11-03,2014-11-10,5,Week 5,false,false
3,2015,2014-11-10,2014-11-17,6,Week 6,false,false
3,2015,2014-11-17,2014-11-24,7,Week 7,false,false
3,2015,2014-11-24,2014-12-01,8,Week 8,false,false
3,2015,2014-12-01,2014-12-08,9,Week 9,false,false
3,2015,2014-12-08,2014-12-15,10,Week 10,false,false
3,2015,2014-12-15,2014-12-22,11,Week 11,false,false
3,2015,2014-12-22,2014-12-29,12,Week 12,false,false
3,2015,2014-12-29,2015-01-05,13,Week 13,false,false
3,2015,2015-01-05,2015-01-12,14,Week 14,false,false
3,2015,2015-01-12,2015-01-19,15,Week 15,false,false
3,2015,2015-01-19,2015-01-26,16,Week 16,false,false
3,2015,2015-01-26,2015-02-02,17,Week 17,false,false
3,2015,2015-02-02,2015-02-09,18,Week 18,false,false
3,2015,2015-02-09,2015-02-16,19,Week 19,false,false
3,2015,2015-02-16,2015-02-23,20,Week 20,false,false
3,2015,2015-02-23,2015-03-02,21,Week 21,false,false
3,2015,2015-03-02,2015-03-09,22,Week 22,false,false
3,2015,2015-03-09,2015-03-16,23,Week 23,false,false
3,2015,2015-03-16,2015-03-23,24,Week 24,false,false
3,2015,2015-03-23,2015-03-30,25,Week 25,false,false
3,2015,2015-03-30,2015-04-06,26,Week 26,false,false
3,2015,2015-04-06,2015-04-13,27,Week 27,false,false
3,2015,2015-04-13,2015-04-20,1,Postseason Week 1,false,true
